0.00000	    6.72222	    5.07938	    4.69840
0.20000	    6.72222	    5.07938	    4.69840
0.40000	    6.72222	    5.07938	    4.69840
0.60000	    6.72222	    5.07938	    4.69840
0.80000	    6.72222	    5.07938	    4.69840
1.00000	    6.72222	    5.07938	    4.69840
1.20000	    6.72222	    5.07938	    4.69840
1.40000	    6.72222	    5.07938	    4.69840
1.60000	    6.72222	    5.07938	    4.69840
1.80000	    6.72222	    5.07938	    4.69840
2.00000	    6.72222	    5.07938	    4.69840
2.20000	    6.72222	    5.07938	    4.69840
2.40000	    6.72222	    5.07938	    4.69840
2.60000	    6.72222	    5.07938	    4.69840
2.80000	    6.72222	    5.07938	    4.69840
3.00000	    6.72222	    5.07938	    4.69840
3.20000	    6.72222	    5.07938	    4.69840
3.40000	    6.72222	    5.07938	    4.69840
3.60000	    6.72222	    5.07938	    4.69840
3.80000	    6.72222	    5.07938	    4.69840
4.00000	    6.72222	    5.07938	    4.69840
4.20000	    6.72222	    5.07938	    4.69840
4.40000	    6.72222	    5.07938	    4.69840
4.60000	    6.72222	    5.07938	    4.69840
4.80000	    6.72223	    5.07938	    4.69840
5.00000	    6.72223	    5.07938	    4.69839
5.20000	    6.72224	    5.07937	    4.69839
5.40000	    6.72225	    5.07937	    4.69839
5.60000	    6.72226	    5.07936	    4.69838
5.80000	    6.72229	    5.07935	    4.69837
6.00000	    6.72232	    5.07933	    4.69835
6.20000	    6.72226	    0.00011	    5.07930	    4.69833
6.40000	    6.72228	    0.00015	    5.07927	    4.69830
6.60000	    6.72231	    0.00022	    5.07922	    4.69825
6.80000	    4.48149	    0.00030	    5.07916	    4.69820
7.00000	    4.48149	    0.00041	    5.07908	    4.69812
7.20000	    4.48149	    0.00055	    5.07898	    4.69803
7.40000	    4.48149	    0.00073	    5.07886	    4.69792
7.60000	    4.48150	    0.00094	    5.07870	    4.69777
7.80000	    4.48150	    0.00120	    5.07851	    4.69760
8.00000	    4.48150	    0.00152	    5.07829	    4.69739
8.20000	    4.48151	    0.00190	    5.07801	    4.69713
8.40000	    4.48152	    0.00235	    5.07769	    4.69683
8.60000	    4.48152	    0.00288	    5.07731	    4.69648
8.80000	    4.48153	    0.00349	    5.07686	    4.69607
9.00000	    4.48154	    0.00420	    5.07635	    4.69560
9.20000	    4.48156	    0.00501	    5.07577	    4.69506
9.40000	    4.48157	    0.00593	    5.07510	    4.69444
9.60000	    4.48158	    0.00697	    5.07434	    4.69374
9.80000	    4.48160	    0.00815	    5.07349	    4.69295
10.00000	    4.48162	    0.00945	    5.07254	    4.69207
10.20000	    4.48164	    0.01091	    5.07148	    4.69109
10.40000	    4.48167	    0.01252	    5.07031	    4.69001
10.60000	    4.48169	    0.01429	    5.06902	    4.68881
10.80000	    4.48172	    0.01623	    5.06760	    4.68750
11.00000	    4.48176	    0.01835	    5.06604	    4.68606
11.20000	    4.48179	    0.02066	    5.06435	    4.68450
11.40000	    4.48183	    0.02316	    5.06252	    4.68280
11.60000	    4.48187	    0.02586	    5.06053	    4.68097
11.80000	    4.48192	    0.02876	    5.05839	    4.67899
12.00000	    4.48196	    0.03187	    5.05609	    4.67686
12.20000	    4.48202	    0.03520	    5.05363	    4.67458
12.40000	    4.48207	    0.03875	    5.05099	    4.67214
12.60000	    4.48213	    0.04253	    5.04818	    4.66954
12.80000	    4.48220	    0.04654	    5.04520	    4.66678
13.00000	    4.48226	    0.05078	    5.04203	    4.66385
13.20000	    4.48233	    0.05526	    5.03867	    4.66075
13.40000	    4.48241	    0.05998	    5.03513	    4.65747
13.60000	    4.48249	    0.06495	    5.03140	    4.65402
13.80000	    4.48257	    0.07015	    5.02747	    4.65039
14.00000	    4.48266	    0.07561	    5.02335	    4.64657
14.20000	    4.48276	    0.08131	    5.01903	    4.64258
14.40000	    4.48285	    0.08726	    5.01451	    4.63840
14.60000	    4.48296	    0.09345	    5.00979	    4.63403
14.80000	    4.48307	    0.09990	    5.00487	    4.62948
15.00000	    4.48318	    0.10659	    4.99974	    4.62474
