0.00000	    6.72222	    9.70410	    0.07368
0.20000	    6.72222	    9.70410	    0.07368
0.40000	    6.72222	    9.70410	    0.07368
0.60000	    6.72222	    9.70410	    0.07368
0.80000	    6.72222	    9.70410	    0.07368
1.00000	    6.72222	    9.70410	    0.07368
1.20000	    6.72222	    9.70410	    0.07368
1.40000	    6.72222	    9.70410	    0.07368
1.60000	    6.72222	    9.70410	    0.07368
1.80000	    6.72222	    9.70410	    0.07368
2.00000	    6.72222	    9.70410	    0.07368
2.20000	    6.72222	    9.70410	    0.07368
2.40000	    6.72222	    9.70410	    0.07368
2.60000	    6.72222	    9.70410	    0.07368
2.80000	    6.72222	    9.70410	    0.07368
3.00000	    6.72222	    9.70410	    0.07368
3.20000	    6.72222	    9.70410	    0.07368
3.40000	    6.72222	    9.70410	    0.07368
3.60000	    6.72222	    9.70410	    0.07368
3.80000	    6.72222	    9.70410	    0.07368
4.00000	    6.72222	    9.70410	    0.07368
4.20000	    6.72222	    9.70410	    0.07368
4.40000	    6.72222	    9.70410	    0.07368
4.60000	    6.72222	    9.70410	    0.07368
4.80000	    6.72223	    9.70410	    0.07368
5.00000	    6.72223	    9.70409	    0.07368
5.20000	    6.72224	    9.70409	    0.07368
5.40000	    6.72225	    9.70408	    0.07368
5.60000	    6.72226	    9.70406	    0.07368
5.80000	    6.72229	    9.70404	    0.07368
6.00000	    6.72232	    9.70400	    0.07368
6.20000	    6.72237	    9.70395	    0.07368
6.40000	    4.48147	    0.00013	    9.70389	    0.07368
6.60000	    4.48146	    0.00018	    9.70380	    0.07367
6.80000	    4.48146	    0.00025	    9.70368	    0.07367
7.00000	    4.48145	    0.00034	    9.70353	    0.07367
7.20000	    4.48143	    0.00046	    9.70334	    0.07367
7.40000	    4.48142	    0.00060	    9.70311	    0.07367
7.60000	    4.48140	    0.00078	    9.70281	    0.07367
7.80000	    4.48138	    0.00100	    9.70245	    0.07366
8.00000	    4.48135	    0.00126	    9.70201	    0.07366
8.20000	    4.48132	    0.00157	    9.70149	    0.07366
8.40000	    4.48128	    0.00194	    9.70087	    0.07365
8.60000	    4.48123	    0.00238	    9.70014	    0.07365
8.80000	    4.48118	    0.00289	    9.69930	    0.07364
9.00000	    4.48112	    0.00347	    9.69832	    0.07363
9.20000	    4.48105	    0.00414	    9.69720	    0.07362
9.40000	    4.48098	    0.00490	    9.69592	    0.07361
9.60000	    4.48089	    0.00576	    9.69448	    0.07360
9.80000	    4.48079	    0.00673	    9.69285	    0.07359
10.00000	    4.48068	    0.00781	    9.69104	    0.07358
10.20000	    4.48056	    0.00902	    9.68901	    0.07356
10.40000	    4.48043	    0.01035	    9.68677	    0.07355
10.60000	    4.48029	    0.01181	    9.68430	    0.07353
10.80000	    4.48013	    0.01342	    9.68159	    0.07351
11.00000	    4.47996	    0.01517	    9.67862	    0.07348
11.20000	    4.47978	    0.01708	    9.67539	    0.07346
