0.00000	    8.33333	    2.33333	    2.66667
0.20000	    8.33333	    2.33333	    2.66667
0.40000	    8.33333	    2.33333	    2.66667
0.60000	    8.33333	    2.33333	    2.66667
0.80000	    8.33333	    2.33333	    2.66667
1.00000	    8.33333	    2.33333	    2.66667
1.20000	    8.33333	    2.33333	    2.66667
1.40000	    8.33333	    2.33333	    2.66667
1.60000	    8.33333	    2.33333	    2.66667
1.80000	    8.33333	    2.33333	    2.66667
2.00000	    8.33333	    2.33333	    2.66667
2.20000	    8.33334	    2.33333	    2.66667
2.40000	    8.33334	    2.33333	    2.66666
2.60000	    8.33336	    2.33332	    2.66665
2.80000	    8.33326	    0.00013	    2.33331	    2.66664
3.00000	    8.33318	    0.00027	    2.33328	    2.66661
3.20000	    8.33306	    0.00049	    2.33323	    2.66655
3.40000	    8.33288	    0.00084	    2.33315	    2.66646
3.60000	    5.55485	    0.00014	    0.00135	    2.33304	    2.66633
3.80000	    5.55445	    0.00025	    0.00207	    2.33286	    2.66613
4.00000	    5.55388	    0.00042	    0.00304	    2.33262	    2.66586
4.20000	    5.55311	    0.00066	    0.00430	    2.33230	    2.66548
4.40000	    5.55211	    0.00101	    0.00589	    2.33187	    2.66499
4.60000	    5.55081	    0.00147	    0.00786	    2.33132	    2.66437
4.80000	    5.54920	    0.00208	    0.01023	    2.33063	    2.66358
5.00000	    5.54722	    0.00286	    0.01304	    2.32979	    2.66261
5.20000	    5.54482	    0.00385	    0.01630	    2.32877	    2.66145
5.40000	    5.54198	    0.00505	    0.02006	    2.32756	    2.66006
5.60000	    5.53866	    0.00651	    0.02431	    2.32614	    2.65844
5.80000	    5.53481	    0.00824	    0.02907	    2.32450	    2.65657
6.00000	    5.53041	    0.01027	    0.03434	    2.32262	    2.65442
6.20000	    5.52544	    0.01262	    0.04013	    2.32049	    2.65199
6.40000	    5.51986	    0.01530	    0.04643	    2.31811	    2.64927
6.60000	    5.51366	    0.01833	    0.05324	    2.31546	    2.64624
6.80000	    5.50682	    0.02172	    0.06055	    2.31254	    2.64290
7.00000	    5.49933	    0.02549	    0.06835	    2.30934	    2.63924
7.20000	    5.49118	    0.02964	    0.07662	    2.30585	    2.63526
7.40000	    5.48238	    0.03418	    0.08534	    2.30208	    2.63095
7.60000	    5.47290	    0.03912	    0.09449	    2.29803	    2.62632
7.80000	    5.46277	    0.04445	    0.10406	    2.29370	    2.62137
8.00000	    5.45198	    0.05017	    0.11402	    2.28908	    2.61609
