0.00000	    8.33333	    2.66667	    2.33333
0.20000	    8.33333	    2.66667	    2.33333
0.40000	    8.33333	    2.66667	    2.33333
0.60000	    8.33333	    2.66667	    2.33333
0.80000	    8.33333	    2.66667	    2.33333
1.00000	    8.33333	    2.66667	    2.33333
1.20000	    8.33333	    2.66667	    2.33333
1.40000	    8.33333	    2.66667	    2.33333
1.60000	    8.33333	    2.66667	    2.33333
1.80000	    8.33333	    2.66667	    2.33333
2.00000	    8.33333	    2.66667	    2.33333
2.20000	    8.33333	    2.66667	    2.33333
2.40000	    8.33333	    2.66667	    2.33333
2.60000	    8.33333	    2.66667	    2.33333
2.80000	    8.33334	    2.66666	    2.33333
3.00000	    8.33334	    2.66666	    2.33333
3.20000	    8.33336	    2.66665	    2.33332
3.40000	    8.33338	    2.66664	    2.33331
3.60000	    8.33329	    0.00014	    2.66662	    2.33329
3.80000	    5.55537	    0.00025	    2.66657	    2.33325
4.00000	    5.55523	    0.00042	    2.66651	    2.33320
4.20000	    5.55504	    0.00066	    2.66642	    2.33311
4.40000	    5.55476	    0.00101	    0.00016	    2.66628	    2.33299
4.60000	    5.55437	    0.00147	    0.00025	    2.66609	    2.33283
4.80000	    5.55384	    0.00208	    0.00037	    2.66584	    2.33261
5.00000	    5.55316	    0.00287	    0.00055	    2.66550	    2.33232
5.20000	    5.55228	    0.00385	    0.00077	    2.66508	    2.33194
5.40000	    5.55119	    0.00506	    0.00106	    2.66454	    2.33148
5.60000	    5.54984	    0.00653	    0.00143	    2.66389	    2.33090
5.80000	    5.54821	    0.00826	    0.00189	    2.66310	    2.33021
6.00000	    5.54627	    0.01030	    0.00244	    2.66215	    2.32938
6.20000	    5.54399	    0.01266	    0.00311	    2.66104	    2.32841
6.40000	    5.54135	    0.01536	    0.00390	    2.65975	    2.32728
6.60000	    5.53831	    0.01841	    0.00483	    2.65827	    2.32599
6.80000	    5.53486	    0.02183	    0.00590	    2.65659	    2.32452
7.00000	    5.53096	    0.02564	    0.00712	    2.65469	    2.32285
7.20000	    5.52661	    0.02984	    0.00850	    2.65257	    2.32100
7.40000	    5.52179	    0.03443	    0.01006	    2.65022	    2.31894
7.60000	    5.51647	    0.03943	    0.01180	    2.64762	    2.31667
7.80000	    5.51066	    0.04484	    0.01372	    2.64479	    2.31419
8.00000	    5.50433	    0.05066	    0.01583	    2.64170	    2.31149
8.20000	    5.49749	    0.05688	    0.01813	    2.63836	    2.30857
8.40000	    5.49013	    0.06351	    0.02064	    2.63477	    2.30542
8.60000	    5.48225	    0.07053	    0.02335	    2.63092	    2.30205
8.80000	    5.47384	    0.07794	    0.02625	    2.62681	    2.29846
9.00000	    5.46491	    0.08574	    0.02937	    2.62245	    2.29464
9.20000	    5.45546	    0.09391	    0.03268	    2.61784	    2.29061
9.40000	    5.44550	    0.10244	    0.03620	    2.61297	    2.28635
9.60000	    5.43504	    0.11132	    0.03992	    2.60786	    2.28188
9.80000	    5.42409	    0.12055	    0.04384	    2.60251	    2.27720
10.00000	    5.41265	    0.13010	    0.04796	    2.59692	    2.27231
10.20000	    5.40074	    0.13996	    0.05227	    2.59110	    2.26721
10.40000	    5.38837	    0.15012	    0.05677	    2.58505	    2.26192
10.60000	    5.37555	    0.16057	    0.06145	    2.57879	    2.25644
10.80000	    5.36231	    0.17128	    0.06631	    2.57232	    2.25078
11.00000	    5.34865	    0.18225	    0.07135	    2.56564	    2.24493
11.20000	    5.33459	    0.19345	    0.07655	    2.55877	    2.23892
11.40000	    5.32015	    0.20488	    0.08192	    2.55170	    2.23274
11.60000	    5.30534	    0.21652	    0.08744	    2.54447	    2.22641
11.80000	    5.29019	    0.22835	    0.09312	    2.53706	    2.21992
12.00000	    5.27470	    0.24037	    0.09894	    2.52948	    2.21330
12.20000	    5.25890	    0.25254	    0.10489	    2.52176	    2.20654
12.40000	    5.24281	    0.26487	    0.11098	    2.51389	    2.19965
12.60000	    5.22644	    0.27733	    0.11719	    2.50588	    2.19264
12.80000	    5.20981	    0.28992	    0.12351	    2.49774	    2.18552
13.00000	    5.19293	    0.30261	    0.12995	    2.48949	    2.17830
13.20000	    5.17583	    0.31540	    0.13649	    2.48112	    2.17098
13.40000	    5.15851	    0.32828	    0.14313	    2.47265	    2.16357
13.60000	    5.14101	    0.34123	    0.14986	    2.46409	    2.15608
13.80000	    5.12332	    0.35423	    0.15668	    2.45543	    2.14850
14.00000	    5.10547	    0.36729	    0.16357	    2.44670	    2.14086
14.20000	    5.08748	    0.38039	    0.17053	    2.43790	    2.13316
