0.00000	   11.92171	    0.84522	    3.73307
0.20000	   11.92171	    0.84522	    3.73307
0.40000	   11.92171	    0.84522	    3.73307
0.60000	   11.92171	    0.84522	    3.73307
0.80000	   11.92171	    0.84522	    3.73307
1.00000	   11.92171	    0.84522	    3.73307
1.20000	   11.92171	    0.84522	    3.73307
1.40000	   11.92171	    0.84522	    3.73307
1.60000	   11.92171	    0.84522	    3.73307
1.80000	   11.92171	    0.84522	    3.73307
2.00000	   11.92171	    0.84522	    3.73307
2.20000	   11.92171	    0.84522	    3.73307
2.40000	   11.92171	    0.84522	    3.73307
2.60000	   11.92171	    0.84522	    3.73307
2.80000	   11.92171	    0.84522	    3.73307
3.00000	   11.92171	    0.84522	    3.73307
3.20000	   11.92171	    0.84522	    3.73307
3.40000	   11.92171	    0.84522	    3.73307
3.60000	   11.92171	    0.84522	    3.73307
3.80000	   11.92171	    0.84522	    3.73307
4.00000	   11.92171	    0.84522	    3.73307
4.20000	   11.92171	    0.84522	    3.73307
4.40000	   11.92171	    0.84522	    3.73307
4.60000	   11.92171	    0.84522	    3.73307
4.80000	   11.92171	    0.84522	    3.73307
5.00000	   11.92171	    0.84522	    3.73307
5.20000	   11.92171	    0.84522	    3.73307
5.40000	   11.92172	    0.84522	    3.73307
5.60000	   11.92172	    0.84522	    3.73307
5.80000	   11.92172	    0.84522	    3.73306
6.00000	   11.92172	    0.84521	    3.73306
6.20000	   11.92173	    0.84521	    3.73306
6.40000	   11.92174	    0.84521	    3.73305
6.60000	   11.92175	    0.84521	    3.73304
6.80000	   11.92176	    0.84521	    3.73303
7.00000	   11.92166	    0.00012	    0.84520	    3.73302
7.20000	   11.92164	    0.00016	    0.84520	    3.73300
7.40000	   11.92162	    0.00021	    0.84520	    3.73297
7.60000	   11.92160	    0.00027	    0.84519	    3.73295
7.80000	   11.92156	    0.00034	    0.84518	    3.73291
8.00000	   11.92153	    0.00043	    0.84517	    3.73287
8.20000	    7.94757	    0.00054	    0.84516	    3.73282
8.40000	    7.94752	    0.00067	    0.84515	    3.73276
8.60000	    7.94745	    0.00082	    0.84513	    3.73269
8.80000	    7.94738	    0.00100	    0.84511	    3.73261
9.00000	    7.94729	    0.00120	    0.84509	    3.73251
9.20000	    7.94719	    0.00143	    0.84507	    3.73240
9.40000	    7.94708	    0.00169	    0.84504	    3.73228
9.60000	    7.94695	    0.00199	    0.84501	    3.73214
9.80000	    7.94680	    0.00233	    0.84497	    3.73198
10.00000	    7.94664	    0.00270	    0.84493	    3.73180
10.20000	    7.94646	    0.00312	    0.84489	    3.73160
10.40000	    7.94626	    0.00358	    0.84484	    3.73138
10.60000	    7.94603	    0.00409	    0.84478	    3.73114
10.80000	    7.94579	    0.00464	    0.84472	    3.73088
11.00000	    7.94552	    0.00525	    0.84465	    3.73058
11.20000	    7.94523	    0.00591	    0.84458	    3.73026
11.40000	    7.94491	    0.00663	    0.84450	    3.72992
11.60000	    7.94457	    0.00740	    0.84442	    3.72954
11.80000	    7.94420	    0.00823	    0.84433	    3.72914
12.00000	    7.94380	    0.00913	    0.84423	    3.72870
12.20000	    7.94338	    0.01009	    0.84412	    3.72823
12.40000	    7.94292	    0.01111	    0.84401	    3.72772
12.60000	    7.94243	    0.01220	    0.84388	    3.72718
12.80000	    7.94191	    0.01335	    0.84375	    3.72661
13.00000	    7.94136	    0.01457	    0.84362	    3.72600
13.20000	    7.94078	    0.01587	    0.84347	    3.72535
13.40000	    7.94016	    0.01723	    0.84331	    3.72466
13.60000	    7.93951	    0.01867	    0.84315	    3.72393
13.80000	    7.93882	    0.02018	    0.84297	    3.72316
14.00000	    7.93810	    0.02176	    0.84279	    3.72236
14.20000	    7.93734	    0.02341	    0.84260	    3.72150
14.40000	    7.93654	    0.02514	    0.84240	    3.72061
14.60000	    7.93571	    0.02695	    0.84218	    3.71968
14.80000	    7.93484	    0.02883	    0.84196	    3.71870
15.00000	    7.93393	    0.03078	    0.84173	    3.71767
15.20000	    7.93299	    0.03281	    0.84149	    3.71660
15.40000	    7.93201	    0.03491	    0.84124	    3.71549
15.60000	    7.93098	    0.03709	    0.84097	    3.71433
15.80000	    7.92992	    0.03935	    0.84070	    3.71312
16.00000	    7.92882	    0.04168	    0.84042	    3.71187
16.20000	    7.92768	    0.04408	    0.84012	    3.71057
16.40000	    7.92650	    0.04656	    0.83982	    3.70922
16.60000	    7.92529	    0.04911	    0.83950	    3.70782
16.80000	    7.92403	    0.05173	    0.83917	    3.70638
17.00000	    7.92273	    0.05443	    0.83884	    3.70489
17.20000	    7.92140	    0.05719	    0.83849	    3.70335
17.40000	    7.92002	    0.06003	    0.83813	    3.70176
17.60000	    7.91861	    0.06294	    0.83776	    3.70013
17.80000	    7.91716	    0.06592	    0.83738	    3.69844
