0.00000	    8.76858	    3.91369	    3.81773
0.20000	    8.76858	    3.91369	    3.81773
0.40000	    8.76858	    3.91369	    3.81773
0.60000	    8.76858	    3.91369	    3.81773
0.80000	    8.76858	    3.91369	    3.81773
1.00000	    8.76858	    3.91369	    3.81773
1.20000	    8.76858	    3.91369	    3.81773
1.40000	    8.76858	    3.91369	    3.81773
1.60000	    8.76858	    3.91369	    3.81773
1.80000	    8.76858	    3.91369	    3.81773
2.00000	    8.76858	    3.91369	    3.81773
2.20000	    8.76858	    3.91369	    3.81773
2.40000	    8.76858	    3.91369	    3.81773
2.60000	    8.76858	    3.91369	    3.81773
2.80000	    8.76858	    3.91369	    3.81773
3.00000	    8.76858	    3.91369	    3.81773
3.20000	    8.76858	    3.91369	    3.81773
3.40000	    8.76858	    3.91369	    3.81773
3.60000	    8.76858	    3.91369	    3.81773
3.80000	    8.76858	    3.91369	    3.81773
4.00000	    8.76858	    3.91368	    3.81773
4.20000	    8.76858	    3.91368	    3.81773
4.40000	    8.76858	    3.91368	    3.81773
4.60000	    8.76858	    3.91368	    3.81773
4.80000	    8.76858	    3.91368	    3.81773
5.00000	    8.76858	    3.91368	    3.81773
5.20000	    8.76858	    3.91368	    3.81773
5.40000	    8.76859	    3.91368	    3.81773
5.60000	    8.76859	    3.91368	    3.81773
5.80000	    8.76859	    3.91368	    3.81773
6.00000	    8.76860	    3.91368	    3.81773
6.20000	    8.76861	    3.91367	    3.81772
6.40000	    8.76862	    3.91366	    3.81771
6.60000	    8.76864	    3.91365	    3.81771
6.80000	    8.76866	    3.91364	    3.81769
7.00000	    4.62182	    3.91363	    3.81768
7.20000	    4.62182	    3.91361	    3.81766
7.40000	    4.62182	    3.91358	    3.81764
7.60000	    4.62182	    3.91355	    3.81761
7.80000	    4.62182	    3.91352	    3.81757
8.00000	    4.62182	    0.00010	    3.91347	    3.81753
8.20000	    4.62182	    0.00013	    3.91342	    3.81748
8.40000	    4.62182	    0.00016	    3.91336	    3.81742
8.60000	    4.62181	    0.00020	    3.91328	    3.81734
8.80000	    4.62181	    0.00024	    3.91320	    3.81726
9.00000	    4.62181	    0.00029	    3.91310	    3.81716
9.20000	    4.62181	    0.00035	    3.91298	    3.81705
9.40000	    4.62181	    0.00041	    3.91285	    3.81692
9.60000	    4.62180	    0.00048	    3.91271	    3.81678
9.80000	    4.62180	    0.00056	    3.91254	    3.81662
10.00000	    4.62180	    0.00065	    3.91236	    3.81644
10.20000	    4.62179	    0.00075	    3.91215	    3.81624
10.40000	    4.62179	    0.00086	    3.91192	    3.81601
10.60000	    4.62179	    0.00099	    3.91166	    3.81576
10.80000	    4.62179	    0.00112	    3.91138	    3.81549
11.00000	    4.62179	    0.00127	    3.91108	    3.81519
11.20000	    4.62179	    0.00143	    3.91074	    3.81487
11.40000	    4.62179	    0.00160	    3.91038	    3.81451
11.60000	    4.62179	    0.00178	    3.90999	    3.81413
11.80000	    4.62180	    0.00199	    3.90956	    3.81371
12.00000	    4.62180	    0.00220	    3.90910	    3.81326
12.20000	    4.62181	    0.00243	    3.90861	    3.81278
12.40000	    4.62182	    0.00268	    3.90808	    3.81227
12.60000	    4.62183	    0.00294	    3.90751	    3.81171
12.80000	    4.62184	    0.00322	    3.90691	    3.81113
13.00000	    4.62186	    0.00351	    3.90627	    3.81050
13.20000	    4.62188	    0.00383	    3.90559	    3.80984
13.40000	    4.62191	    0.00416	    3.90487	    3.80913
13.60000	    4.62194	    0.00450	    3.90410	    3.80839
13.80000	    4.62197	    0.00487	    3.90330	    3.80760
14.00000	    4.62201	    0.00525	    3.90245	    3.80678
14.20000	    4.62205	    0.00565	    3.90156	    3.80591
14.40000	    4.62210	    0.00606	    3.90062	    3.80499
14.60000	    4.62216	    0.00650	    3.89964	    3.80404
14.80000	    4.62222	    0.00695	    3.89861	    3.80303
15.00000	    4.62229	    0.00742	    3.89754	    3.80199
15.20000	    4.62236	    0.00791	    3.89642	    3.80089
15.40000	    4.62245	    0.00842	    3.89525	    3.79975
15.60000	    4.62254	    0.00895	    3.89403	    3.79857
15.80000	    4.62264	    0.00949	    3.89277	    3.79733
16.00000	    4.62274	    0.01005	    3.89145	    3.79605
16.20000	    4.62286	    0.01063	    3.89009	    3.79472
16.40000	    4.62299	    0.01123	    3.88868	    3.79334
16.60000	    4.62313	    0.01184	    3.88722	    3.79191
16.80000	    4.62328	    0.01248	    3.88570	    3.79044
17.00000	    4.62344	    0.01313	    3.88414	    3.78891
17.20000	    4.62361	    0.01379	    3.88253	    3.78734
17.40000	    4.62379	    0.01448	    3.88086	    3.78572
17.60000	    4.62398	    0.01518	    3.87915	    3.78404
17.80000	    4.62419	    0.01590	    3.87738	    3.78232
18.00000	    4.62441	    0.01663	    3.87557	    3.78055
18.20000	    4.62464	    0.01738	    3.87370	    3.77873
18.40000	    4.62489	    0.01815	    3.87178	    3.77686
18.60000	    4.62515	    0.01893	    3.86981	    3.77494
18.80000	    4.62542	    0.01973	    3.86779	    3.77297
19.00000	    4.62571	    0.02054	    3.86572	    3.77095
