0.00000	    9.33333	    4.00000
0.20000	    9.33333	    4.00000
0.40000	    9.33333	    4.00000
0.60000	    9.33333	    4.00000
0.80000	    9.33333	    4.00000
1.00000	    9.33333	    4.00000
1.20000	    9.33333	    4.00000
1.40000	    9.33333	    4.00000
1.60000	    9.33333	    4.00000
1.80000	    9.33333	    4.00000
2.00000	    9.33333	    4.00000
2.20000	    9.33333	    4.00000
2.40000	    9.33333	    4.00000
2.60000	    9.33334	    4.00000
2.80000	    9.33334	    3.99999
3.00000	    9.33335	    3.99998
3.20000	    9.33337	    3.99996
3.40000	    9.33313	    3.99991
3.60000	    9.33296	    3.99984	    0.00015
3.80000	    0.00014	    9.33266	    3.99971	    0.00027
4.00000	    0.00013	    0.00024	    9.33221	    3.99952	    0.00045
4.20000	    0.00022	    0.00037	    9.33153	    3.99923	    0.00071
4.40000	    0.00035	    0.00057	    9.33057	    3.99881	    0.00108
4.60000	    0.00055	    0.00083	    9.32924	    3.99825	    0.00157
4.80000	    0.00081	    0.00117	    9.32747	    3.99749	    0.00223
5.00000	    0.00118	    0.00161	    9.32517	    3.99650	    0.00307
5.20000	    0.00165	    0.00217	    9.32224	    3.99525	    0.00412
5.40000	    0.00226	    0.00285	    9.31861	    3.99369	    0.00542
5.60000	    0.00303	    0.00367	    9.31416	    3.99178	    0.00698
5.80000	    0.00398	    0.00464	    9.30882	    3.98950	    0.00884
6.00000	    0.00513	    0.00579	    9.30250	    3.98679	    0.01102
6.20000	    0.00650	    0.00711	    9.29512	    3.98362	    0.01354
6.40000	    0.00812	    0.00862	    9.28660	    3.97997	    0.01641
6.60000	    0.01001	    0.01033	    9.27686	    3.97580	    0.01967
6.80000	    0.01218	    0.01224	    9.26586	    3.97108	    0.02331
7.00000	    0.01466	    0.01436	    9.25354	    3.96580	    0.02736
7.20000	    0.01746	    0.01670	    9.23984	    3.95993	    0.03182
7.40000	    0.02060	    0.01926	    9.22474	    3.95346	    0.03669
7.60000	    0.02408	    0.02204	    9.20821	    3.94638	    0.04199
7.80000	    0.02792	    0.02504	    9.19022	    3.93867	    0.04770
8.00000	    0.03213	    0.02826	    9.17077	    3.93033	    0.05384
8.20000	    0.03672	    0.03170	    9.14985	    3.92137	    0.06039
8.40000	    0.04168	    0.03536	    9.12747	    3.91177	    0.06735
8.60000	    0.04702	    0.03922	    9.10364	    3.90156	    0.07471
8.80000	    0.05274	    0.04329	    9.07837	    3.89073	    0.08246
9.00000	    0.05884	    0.04756	    9.05169	    3.87930	    0.09059
9.20000	    0.06531	    0.05202	    9.02364	    3.86727	    0.09909
9.40000	    0.07216	    0.05667	    8.99424	    3.85467	    0.10794
9.60000	    0.07938	    0.06150	    8.96354	    3.84152	    0.11713
9.80000	    0.08695	    0.06649	    8.93158	    3.82782	    0.12665
10.00000	    0.09487	    0.07164	    8.89840	    3.81360	    0.13646
10.20000	    0.10313	    0.07695	    8.86406	    3.79888	    0.14657
10.40000	    0.11172	    0.08240	    8.82861	    3.78369	    0.15695
10.60000	    0.12063	    0.08798	    8.79210	    3.76804	    0.16758
10.80000	    0.12984	    0.09369	    8.75460	    3.75197	    0.17845
11.00000	    0.13934	    0.09950	    8.71615	    3.73549	    0.18953
11.20000	    0.14912	    0.10543	    8.67681	    3.71863	    0.20082
