0.00000	    8.27912	    5.05846	    3.16241
0.20000	    8.27912	    5.05846	    3.16241
0.40000	    8.27912	    5.05846	    3.16241
0.60000	    8.27912	    5.05846	    3.16241
0.80000	    8.27912	    5.05846	    3.16241
1.00000	    8.27912	    5.05846	    3.16241
1.20000	    8.27912	    5.05846	    3.16241
1.40000	    8.27912	    5.05846	    3.16241
1.60000	    8.27912	    5.05846	    3.16241
1.80000	    8.27912	    5.05846	    3.16241
2.00000	    8.27912	    5.05846	    3.16241
2.20000	    8.27912	    5.05846	    3.16241
2.40000	    8.27912	    5.05846	    3.16241
2.60000	    8.27912	    5.05846	    3.16241
2.80000	    8.27912	    5.05846	    3.16241
3.00000	    8.27912	    5.05846	    3.16241
3.20000	    8.27912	    5.05846	    3.16241
3.40000	    8.27912	    5.05846	    3.16241
3.60000	    8.27912	    5.05846	    3.16241
3.80000	    8.27912	    5.05846	    3.16241
4.00000	    8.27912	    5.05846	    3.16241
4.20000	    8.27912	    5.05846	    3.16241
4.40000	    8.27913	    5.05846	    3.16241
4.60000	    8.27913	    5.05846	    3.16241
4.80000	    8.27913	    5.05846	    3.16241
5.00000	    8.27913	    5.05846	    3.16241
5.20000	    8.27913	    5.05846	    3.16241
5.40000	    8.27914	    5.05846	    3.16241
5.60000	    8.27914	    5.05845	    3.16241
5.80000	    8.27915	    5.05845	    3.16240
6.00000	    8.27917	    5.05844	    3.16240
6.20000	    8.27919	    5.05842	    3.16239
6.40000	    8.27921	    5.05841	    3.16238
6.60000	    8.27925	    5.05838	    3.16236
6.80000	    5.51944	    5.05835	    3.16234
7.00000	    5.51944	    5.05832	    3.16232
7.20000	    5.51945	    5.05827	    3.16229
7.40000	    5.51947	    5.05820	    3.16225
7.60000	    5.51948	    0.00011	    5.05813	    3.16220
7.80000	    5.51950	    0.00015	    5.05803	    3.16214
8.00000	    5.51952	    0.00019	    5.05792	    3.16207
8.20000	    5.51954	    0.00023	    5.05778	    3.16199
8.40000	    5.51957	    0.00029	    5.05762	    3.16189
8.60000	    5.51961	    0.00035	    5.05743	    3.16177
8.80000	    5.51965	    0.00043	    5.05721	    3.16163
9.00000	    5.51970	    0.00051	    5.05696	    3.16147
9.20000	    5.51975	    0.00061	    5.05667	    3.16129
9.40000	    5.51982	    0.00072	    5.05634	    3.16108
9.60000	    5.51989	    0.00085	    5.05596	    3.16085
9.80000	    5.51996	    0.00099	    5.05554	    3.16059
10.00000	    5.52005	    0.00115	    5.05507	    3.16029
10.20000	    5.52015	    0.00133	    5.05455	    3.15996
10.40000	    5.52026	    0.00153	    5.05397	    3.15960
10.60000	    5.52038	    0.00174	    5.05333	    3.15920
10.80000	    5.52051	    0.00198	    5.05262	    3.15876
11.00000	    5.52065	    0.00224	    5.05186	    3.15828
11.20000	    5.52080	    0.00252	    5.05102	    3.15776
11.40000	    5.52097	    0.00283	    5.05012	    3.15719
11.60000	    5.52115	    0.00316	    5.04914	    3.15658
11.80000	    5.52134	    0.00351	    5.04808	    3.15592
12.00000	    5.52155	    0.00389	    5.04695	    3.15521
12.20000	    5.52177	    0.00430	    5.04573	    3.15445
12.40000	    5.52201	    0.00474	    5.04444	    3.15364
12.60000	    5.52226	    0.00520	    5.04305	    3.15278
12.80000	    5.52253	    0.00569	    5.04159	    3.15186
13.00000	    5.52281	    0.00621	    5.04003	    3.15089
13.20000	    5.52311	    0.00676	    5.03838	    3.14986
13.40000	    5.52342	    0.00734	    5.03664	    3.14877
13.60000	    5.52375	    0.00795	    5.03481	    3.14762
13.80000	    5.52410	    0.00859	    5.03288	    3.14642
14.00000	    5.52446	    0.00927	    5.03086	    3.14516
14.20000	    5.52484	    0.00997	    5.02874	    3.14383
14.40000	    5.52523	    0.01070	    5.02653	    3.14245
14.60000	    5.52564	    0.01147	    5.02421	    3.14100
