0.00000	   11.98501	    4.20282	    0.31217
0.20000	   11.98501	    4.20282	    0.31217
0.40000	   11.98501	    4.20282	    0.31217
0.60000	   11.98501	    4.20282	    0.31217
0.80000	   11.98501	    4.20282	    0.31217
1.00000	   11.98501	    4.20282	    0.31217
1.20000	   11.98501	    4.20282	    0.31217
1.40000	   11.98501	    4.20282	    0.31217
1.60000	   11.98501	    4.20282	    0.31217
1.80000	   11.98501	    4.20282	    0.31217
2.00000	   11.98501	    4.20282	    0.31217
2.20000	   11.98501	    4.20282	    0.31217
2.40000	   11.98501	    4.20282	    0.31217
2.60000	   11.98501	    4.20282	    0.31217
2.80000	   11.98501	    4.20282	    0.31217
3.00000	   11.98501	    4.20282	    0.31217
3.20000	   11.98501	    4.20282	    0.31217
3.40000	   11.98501	    4.20282	    0.31217
3.60000	   11.98501	    4.20282	    0.31217
3.80000	   11.98501	    4.20282	    0.31217
4.00000	   11.98501	    4.20282	    0.31217
4.20000	   11.98501	    4.20282	    0.31217
4.40000	   11.98501	    4.20282	    0.31217
4.60000	   11.98501	    4.20282	    0.31217
4.80000	   11.98501	    4.20282	    0.31217
5.00000	   11.98501	    4.20282	    0.31217
5.20000	   11.98502	    4.20282	    0.31217
5.40000	   11.98502	    4.20282	    0.31217
5.60000	   11.98502	    4.20281	    0.31217
5.80000	   11.98503	    4.20281	    0.31216
6.00000	   11.98504	    4.20280	    0.31216
6.20000	   11.98505	    4.20279	    0.31216
6.40000	   11.98506	    4.20278	    0.31216
6.60000	   11.98508	    4.20276	    0.31216
6.80000	   11.98511	    4.20273	    0.31216
7.00000	    9.09185	    0.00013	    4.20270	    0.31216
7.20000	    9.09182	    0.00018	    4.20266	    0.31215
7.40000	    9.09179	    0.00023	    4.20261	    0.31215
7.60000	    9.09174	    0.00030	    4.20254	    0.31214
7.80000	    9.09168	    0.00039	    4.20246	    0.31214
8.00000	    9.09162	    0.00049	    4.20237	    0.31213
8.20000	    9.09154	    0.00061	    4.20226	    0.31212
8.40000	    9.09144	    0.00076	    4.20212	    0.31211
8.60000	    9.09133	    0.00093	    4.20197	    0.31210
8.80000	    9.09119	    0.00113	    4.20178	    0.31209
9.00000	    9.09104	    0.00136	    4.20157	    0.31207
9.20000	    9.09087	    0.00162	    4.20133	    0.31205
9.40000	    9.09067	    0.00192	    4.20106	    0.31203
9.60000	    9.09045	    0.00225	    4.20074	    0.31201
9.80000	    9.09020	    0.00263	    4.20039	    0.31199
10.00000	    9.08991	    0.00306	    4.20000	    0.31196
10.20000	    9.08960	    0.00353	    4.19957	    0.31192
10.40000	    9.08925	    0.00405	    4.19909	    0.31189
10.60000	    9.08887	    0.00462	    4.19855	    0.31185
10.80000	    9.08845	    0.00525	    4.19797	    0.31181
11.00000	    9.08799	    0.00594	    4.19733	    0.31176
11.20000	    9.08749	    0.00668	    4.19664	    0.31171
11.40000	    9.08694	    0.00749	    4.19589	    0.31165
11.60000	    9.08635	    0.00837	    4.19507	    0.31159
11.80000	    9.08572	    0.00931	    4.19420	    0.31153
12.00000	    9.08504	    0.01032	    4.19326	    0.31146
12.20000	    9.08431	    0.01140	    4.19225	    0.31138
12.40000	    9.08353	    0.01256	    4.19117	    0.31130
12.60000	    9.08270	    0.01378	    4.19002	    0.31121
12.80000	    9.08181	    0.01509	    4.18880	    0.31112
13.00000	    9.08087	    0.01647	    4.18751	    0.31103
13.20000	    9.07988	    0.01793	    4.18614	    0.31093
13.40000	    9.07883	    0.01946	    4.18469	    0.31082
13.60000	    9.07772	    0.02108	    4.18317	    0.31071
13.80000	    9.07656	    0.02278	    4.18157	    0.31059
14.00000	    9.07533	    0.02456	    4.17989	    0.31046
14.20000	    9.07405	    0.02643	    4.17813	    0.31033
14.40000	    9.07271	    0.02837	    4.17629	    0.31019
14.60000	    9.07131	    0.03040	    4.17437	    0.31005
14.80000	    9.06985	    0.03252	    4.17236	    0.30990
15.00000	    9.06832	    0.03471	    4.17028	    0.30975
15.20000	    9.06674	    0.03699	    4.16811	    0.30959
15.40000	    9.06509	    0.03935	    4.16586	    0.30942
15.60000	    9.06339	    0.04180	    4.16353	    0.30925
15.80000	    9.06162	    0.04433	    4.16111	    0.30907
16.00000	    9.05979	    0.04694	    4.15861	    0.30888
16.20000	    9.05789	    0.04963	    4.15603	    0.30869
16.40000	    9.05594	    0.05241	    4.15337	    0.30849
16.60000	    9.05392	    0.05526	    4.15063	    0.30829
16.80000	    9.05185	    0.05820	    4.14780	    0.30808
17.00000	    9.04971	    0.06121	    4.14490	    0.30786
17.20000	    9.04751	    0.06431	    4.14191	    0.30764
17.40000	    9.04525	    0.06748	    4.13885	    0.30741
17.60000	    9.04293	    0.07072	    4.13570	    0.30718
17.80000	    9.04055	    0.07404	    4.13248	    0.30694
18.00000	    9.03812	    0.07744	    4.12918	    0.30670
18.20000	    9.03562	    0.08091	    4.12580	    0.30645
18.40000	    9.03307	    0.08445	    4.12235	    0.30619
18.60000	    9.03045	    0.08806	    4.11883	    0.30593
18.80000	    9.02779	    0.09174	    4.11523	    0.30566
19.00000	    9.02506	    0.09549	    4.11155	    0.30539
19.20000	    9.02228	    0.09930	    4.10781	    0.30511
19.40000	    9.01945	    0.10318	    4.10399	    0.30483
19.60000	    9.01656	    0.10712	    4.10011	    0.30454
19.80000	    9.01362	    0.11113	    4.09616	    0.30424
20.00000	    9.01062	    0.11520	    4.09214	    0.30394
20.20000	    9.00758	    0.11932	    4.08805	    0.30364
20.40000	    9.00448	    0.12351	    4.08390	    0.30333
20.60000	    9.00134	    0.12775	    4.07969	    0.30302
20.80000	    8.99814	    0.13204	    4.07541	    0.30270
21.00000	    8.99490	    0.13639	    4.07107	    0.30238
21.20000	    8.99161	    0.14079	    4.06668	    0.30205
21.40000	    8.98827	    0.14525	    4.06222	    0.30172
21.60000	    8.98489	    0.14975	    4.05771	    0.30139
21.80000	    8.98146	    0.15430	    4.05314	    0.30105
22.00000	    8.97799	    0.15889	    4.04852	    0.30070
22.20000	    8.97447	    0.16353	    4.04384	    0.30036
22.40000	    8.97092	    0.16821	    4.03912	    0.30001
22.60000	    8.96732	    0.17294	    4.03434	    0.29965
22.80000	    8.96368	    0.17770	    4.02951	    0.29929
23.00000	    8.96001	    0.18251	    4.02464	    0.29893
23.20000	    8.95629	    0.18735	    4.01971	    0.29857
23.40000	    8.95254	    0.19223	    4.01475	    0.29820
23.60000	    8.94876	    0.19714	    4.00974	    0.29782
23.80000	    8.94493	    0.20208	    4.00468	    0.29745
24.00000	    8.94108	    0.20706	    3.99959	    0.29707
24.20000	    8.93719	    0.21206	    3.99445	    0.29669
24.40000	    8.93326	    0.21710	    3.98928	    0.29630
24.60000	    8.92931	    0.22216	    3.98407	    0.29592
24.80000	    8.92532	    0.22725	    3.97882	    0.29553
25.00000	    8.92131	    0.23236	    3.97353	    0.29514
25.20000	    8.91726	    0.23750	    3.96822	    0.29474
25.40000	    8.91319	    0.24266	    3.96287	    0.29434
25.60000	    8.90909	    0.24784	    3.95749	    0.29394
25.80000	    8.90496	    0.25304	    3.95207	    0.29354
26.00000	    8.90081	    0.25826	    3.94663	    0.29314
26.20000	    8.89664	    0.26350	    3.94116	    0.29273
26.40000	    8.89244	    0.26876	    3.93567	    0.29232
26.60000	    8.88822	    0.27403	    3.93015	    0.29191
26.80000	    8.88397	    0.27931	    3.92460	    0.29150
27.00000	    8.87971	    0.28461	    3.91903	    0.29109
27.20000	    8.87542	    0.28992	    3.91344	    0.29067
27.40000	    8.87111	    0.29524	    3.90783	    0.29025
27.60000	    8.86679	    0.30057	    3.90219	    0.28984
27.80000	    8.86245	    0.30591	    3.89654	    0.28942
28.00000	    8.85809	    0.31125	    3.89087	    0.28900
28.20000	    8.85371	    0.31661	    3.88518	    0.28857
28.40000	    8.84932	    0.32197	    3.87948	    0.28815
28.60000	    8.84491	    0.32733	    3.87376	    0.28772
28.80000	    8.84049	    0.33270	    3.86802	    0.28730
29.00000	    8.83606	    0.33807	    3.86228	    0.28687
