0.00000	    4.00000	    9.33333
0.20000	    4.00000	    9.33333
0.40000	    4.00000	    9.33333
0.60000	    4.00000	    9.33333
0.80000	    4.00000	    9.33333
1.00000	    4.00000	    9.33333
1.20000	    4.00000	    9.33333
1.40000	    4.00000	    9.33333
1.60000	    4.00000	    9.33333
1.80000	    4.00000	    9.33333
2.00000	    4.00000	    9.33333
2.20000	    4.00000	    9.33333
2.40000	    4.00000	    9.33333
2.60000	    4.00001	    9.33333
2.80000	    4.00002	    9.33332
3.00000	    4.00004	    9.33329
3.20000	    4.00010	    9.33324
3.40000	    0.00028	    3.99991	    9.33313
3.60000	    0.00054	    3.99984	    9.33296
3.80000	    0.00033	    0.00014	    3.99971	    9.33266
4.00000	    0.00055	    0.00024	    3.99952	    9.33221
4.20000	    0.00088	    0.00037	    3.99923	    9.33153	    0.00015
4.40000	    0.00133	    0.00057	    3.99881	    9.33057	    0.00024
4.60000	    0.00195	    0.00083	    3.99825	    9.32924	    0.00037
4.80000	    0.00276	    0.00117	    3.99749	    9.32747	    0.00056
5.00000	    0.00380	    0.00161	    3.99650	    9.32517	    0.00082
5.20000	    0.00511	    0.00217	    3.99525	    9.32224	    0.00116
5.40000	    0.00671	    0.00285	    3.99369	    9.31861	    0.00159
5.60000	    0.00866	    0.00367	    3.99179	    9.31417	    0.00214
5.80000	    0.01097	    0.00464	    3.98950	    9.30883	    0.00283
6.00000	    0.01368	    0.00579	    3.98679	    9.30251	    0.00366
6.20000	    0.01681	    0.00711	    3.98363	    9.29513	    0.00466
6.40000	    0.02040	    0.00862	    3.97997	    9.28660	    0.00584
6.60000	    0.02445	    0.01033	    3.97580	    9.27687	    0.00722
6.80000	    0.02900	    0.01224	    3.97109	    9.26588	    0.00881
7.00000	    0.03405	    0.01436	    3.96581	    9.25355	    0.01063
7.20000	    0.03962	    0.01670	    3.95994	    9.23986	    0.01269
7.40000	    0.04571	    0.01926	    3.95347	    9.22477	    0.01500
7.60000	    0.05233	    0.02204	    3.94639	    9.20825	    0.01758
7.80000	    0.05948	    0.02504	    3.93869	    9.19027	    0.02042
8.00000	    0.06716	    0.02826	    3.93035	    9.17083	    0.02354
8.20000	    0.07537	    0.03170	    3.92140	    9.14992	    0.02695
8.40000	    0.08409	    0.03536	    3.91181	    9.12756	    0.03064
8.60000	    0.09332	    0.03922	    3.90160	    9.10374	    0.03461
8.80000	    0.10305	    0.04329	    3.89079	    9.07850	    0.03888
9.00000	    0.11325	    0.04756	    3.87937	    9.05185	    0.04343
9.20000	    0.12393	    0.05202	    3.86736	    9.02383	    0.04827
9.40000	    0.13505	    0.05667	    3.85477	    8.99447	    0.05340
9.60000	    0.14660	    0.06150	    3.84163	    8.96381	    0.05880
9.80000	    0.15856	    0.06649	    3.82796	    8.93190	    0.06447
10.00000	    0.17091	    0.07165	    3.81376	    8.89878	    0.07042
10.20000	    0.18363	    0.07695	    3.79907	    8.86450	    0.07662
10.40000	    0.19670	    0.08240	    3.78391	    8.82912	    0.08308
10.60000	    0.21009	    0.08799	    3.76830	    8.79269	    0.08978
10.80000	    0.22379	    0.09369	    3.75226	    8.75527	    0.09671
11.00000	    0.23776	    0.09951	    3.73582	    8.71692	    0.10387
11.20000	    0.25199	    0.10544	    3.71901	    8.67768	    0.11124
11.40000	    0.26646	    0.11146	    3.70184	    8.63763	    0.11882
11.60000	    0.28114	    0.11757	    3.68435	    8.59682	    0.12660
11.80000	    0.29601	    0.12376	    3.66656	    8.55530	    0.13455
12.00000	    0.31106	    0.13001	    3.64849	    8.51313	    0.14268
12.20000	    0.32625	    0.13633	    3.63016	    8.47038	    0.15097
12.40000	    0.34158	    0.14270	    3.61161	    8.42709	    0.15941
12.60000	    0.35702	    0.14911	    3.59285	    8.38332	    0.16799
12.80000	    0.37255	    0.15556	    3.57391	    8.33912	    0.17670
13.00000	    0.38816	    0.16204	    3.55480	    8.29454	    0.18553
13.20000	    0.40382	    0.16854	    3.53556	    8.24963	    0.19447
13.40000	    0.41953	    0.17506	    3.51619	    8.20445	    0.20351
13.60000	    0.43526	    0.18158	    3.49672	    8.15902	    0.21263
13.80000	    0.45101	    0.18811	    3.47718	    8.11341	    0.22184
14.00000	    0.46676	    0.19464	    3.45756	    8.06765	    0.23111
14.20000	    0.48248	    0.20116	    3.43790	    8.02178	    0.24045
14.40000	    0.49819	    0.20766	    3.41821	    7.97583	    0.24983
14.60000	    0.51385	    0.21415	    3.39851	    7.92986	    0.25926
14.80000	    0.52946	    0.22061	    3.37881	    7.88388	    0.26873
15.00000	    0.54501	    0.22705	    3.35912	    7.83794	    0.27822
